customer_id,signup_date,segment,region
CUST-00001,2021-12-09,smb,East
CUST-00002,2024-03-13,smb,Central
CUST-00003,2022-02-01,consumer,South
CUST-00004,2019-04-21,consumer,South
CUST-00005,2020-01-27,consumer,South
CUST-00006,2021-08-31,smb,West
CUST-00007,2020-12-08,consumer,South
CUST-00008,2021-12-06,consumer,West
CUST-00009,2023-03-23,smb,West
CUST-00010,2022-06-16,consumer,East
CUST-00011,2024-05-07,enterprise,North
CUST-00012,2021-08-07,consumer,North
CUST-00013,2020-03-27,enterprise,South
CUST-00014,2022-12-02,consumer,South
CUST-00015,2019-09-14,consumer,South
CUST-00016,2021-08-11,smb,Central
CUST-00017,2021-11-17,smb,South
CUST-00018,2022-03-20,consumer,Central
CUST-00019,2022-08-09,smb,East
CUST-00020,2022-03-27,consumer,North
CUST-00021,2020-02-14,consumer,Central
CUST-00022,2020-08-03,consumer,West
CUST-00023,2022-05-29,consumer,North
CUST-00024,2019-06-06,consumer,East
CUST-00025,2020-05-15,consumer,East
CUST-00026,2019-07-10,consumer,South
CUST-00027,2021-11-23,smb,Central
CUST-00028,2022-06-26,consumer,West
CUST-00029,2019-09-09,smb,Central
CUST-00030,2019-07-10,consumer,East
CUST-00031,2021-01-28,smb,North
CUST-00032,2024-10-27,smb,Central
CUST-00033,2020-07-22,smb,South
CUST-00034,2022-05-15,consumer,East
CUST-00035,2020-03-12,consumer,Central
CUST-00036,2024-04-04,consumer,Central
CUST-00037,2024-08-22,enterprise,Central
CUST-00038,2021-08-08,smb,Central
CUST-00039,2020-04-03,consumer,Central
CUST-00040,2024-02-28,consumer,East
CUST-00041,2022-08-07,consumer,North
CUST-00042,2020-01-03,consumer,East
CUST-00043,2019-07-29,consumer,East
CUST-00044,2022-07-21,enterprise,South
CUST-00045,2022-11-27,consumer,North
CUST-00046,2023-12-05,consumer,West
CUST-00047,2023-11-27,consumer,West
CUST-00048,2020-09-03,consumer,East
CUST-00049,2022-01-12,smb,West
CUST-00050,2020-07-22,consumer,North
CUST-00051,2024-12-11,smb,North
CUST-00052,2022-02-08,consumer,East
CUST-00053,2019-01-27,smb,North
CUST-00054,2023-05-16,smb,East
CUST-00055,2022-06-18,consumer,South
CUST-00056,2024-04-09,consumer,North
