order_id,order_ts,customer_id,region,channel,sku,qty,unit_price,discount_pct,status
ORD-1005537,2025-06-29T04:12:00,CUST-01258,West,retail,SKU-0136,4,294.00,0.00,completed
ORD-1002850,2025-10-15T03:39:00,CUST-01031,Central,mobile,SKU-0134,7,178.59,0.00,cancelled
ORD-1003092,2025-10-26T07:36:00,CUST-00959,South,partner,SKU-0014,2,422.02,0.26,completed
ORD-1007410,2025-07-03T06:04:00,CUST-00541,North,web,SKU-0067,7,15.96,0.00,cancelled
ORD-1005479,2025-03-10T05:42:00,CUST-00025,East,partner,SKU-0105,3,346.21,0.00,completed
ORD-1008547,2025-07-27T11:42:00,CUST-01154,West,mobile,SKU-0011,5,269.94,0.10,completed
ORD-1002529,2025-09-25T03:10:00,CUST-02179,Central,web,SKU-0175,3,431.05,0.00,completed
ORD-1009960,2025-01-23T12:47:00,CUST-02229,South,mobile,SKU-0048,1,303.02,0.00,completed
ORD-1006705,2025-03-15T14:16:00,CUST-00176,West,mobile,SKU-0158,7.0,292.05,0.22,completed
ORD-1008138,2025-04-22T19:36:00,CUST-00870,South,retail,SKU-0051,-5,425.47,0.32,returned
ORD-1009368,2025-08-25T13:27:00,CUST-01335,North,mobile,SKU-0133,2,428.83,0.00,completed
ORD-1002362,2025-03-30T21:08:00,CUST-00470,South,partner,SKU-0104,3,389.71,0.00,completed
ORD-1004905,2025-05-17T14:32:00,CUST-01938,East,mobile,SKU-0147,7 ,272.51,0.00,completed
ORD-1005438,2025-02-11T02:35:00,CUST-02046,South,partner,SKU-0068,6,320.93,0.34,completed
ORD-1004651,2025-11-16T15:04:00,CUST-01350,South,retail,SKU-0043,3,451.84,0.21,completed
ORD-1000528,2025-08-07T06:42:00,CUST-02290,South,mobile,SKU-0049,5,455.39,0.00,completed
ORD-1003848,2025-03-11T04:55:00,CUST-00684,North,mobile,SKU-0089, 4,207.29,0.15,completed
ORD-1004629,2025-09-24T12:44:00,CUST-01507,Central,partner,SKU-0004,5,104.25,0.33,completed
ORD-1003228,2025-07-16T00:01:00,CUST-00821,Central,web,SKU-0118, 3,65.95,0.12,completed
ORD-1011948,2025-03-12T11:45:00,CUST-02018,South,web,SKU-0097,1,186.92,0.00,cancelled
ORD-1010465,2025-10-10T11:08:00,CUST-00699,Central,mobile,SKU-0142,-1,203.58,,returned
ORD-1005197,2025-12-12T14:49:00,CUST-00649,Central,web,SKU-0148,3,401.66,0.00,completed
ORD-1005982,2025-02-11T08:32:00,CUST-01031,Central,mobile,SKU-0177,1,232.70,0.26,completed
ORD-1009854,2025-06-10T07:02:00,CUST-00475,West,partner,SKU-0140,1.0,85.44,0.00,completed
ORD-1005198,2025-10-21T08:30:00,CUST-01453,South,web,SKU-0132,8,107.46,0.00,completed
ORD-1002138,2025-04-06T20:40:00,CUST-02276,South,mobile,SKU-0023,8,37.67,0.00,cancelled
